date,month,year,model,input_tokens,cached_input_tokens,cache_write_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens
2026-02-03,February,2026,gpt-5.2-codex,11706694,10998912,0,707782,41981,20736,11748675
2026-02-04,February,2026,gpt-5.2-codex,9979667,8933376,0,1046291,49634,24960,10029301
2026-02-05,February,2026,gpt-5.3-codex,18033868,17566208,0,467660,148398,109778,18182266
2026-02-06,February,2026,gpt-5.3-codex,1264169,1104128,0,160041,20932,11749,1285101
2026-02-07,February,2026,gpt-5.3-codex,54183507,51273600,0,2909907,633757,525074,54817264
2026-02-08,February,2026,gpt-5.3-codex,318113352,312728192,0,5385160,1329313,973131,319442665
2026-02-12,February,2026,gpt-5.3-codex,38281502,34792320,0,3489182,249149,149034,38530651
2026-02-12,February,2026,gpt-5.3-codex-spark,5700035,5488384,0,211651,72169,19415,5772204
2026-02-13,February,2026,gpt-5.3-codex,423672857,397527808,0,26145049,1576577,789623,425249434
2026-02-14,February,2026,gpt-5.3-codex,1308308561,1242706560,0,65602001,3069675,1270178,1311378236
2026-02-15,February,2026,gpt-5.3-codex,1165264822,1069062272,0,96202550,2141581,1027074,1167406403
2026-02-16,February,2026,gpt-5.3-codex,352504065,336307456,0,16196609,732712,387935,353236777
2026-02-17,February,2026,gpt-5.3-codex,358626856,338491520,0,20135336,1025563,542141,359652419
2026-02-18,February,2026,gpt-5.3-codex,4554198,3459200,0,1094998,47646,21448,4601844
2026-02-19,February,2026,gpt-5.3-codex,767537137,730092032,0,37445105,4888179,2442079,772425316
2026-02-20,February,2026,gpt-5.3-codex,293859019,274681216,0,19177803,1272261,625474,295131280
2026-02-21,February,2026,gpt-5.3-codex,374924743,352631936,0,22292807,1294908,553906,376219651
2026-02-22,February,2026,gpt-5.3-codex,2710710288,2610531968,0,100178320,6051449,2880604,2716761737
2026-02-23,February,2026,gpt-5.3-codex,711889842,683456640,0,28433202,1774063,834807,713663905
2026-02-24,February,2026,gpt-5.3-codex,1000452279,969951872,0,30500407,3028917,1507778,1003481196
2026-02-25,February,2026,gpt-5.3-codex,1279355584,1234623488,0,44732096,3361124,1658839,1282716708
2026-02-26,February,2026,gpt-5.3-codex,309121985,292587904,0,16534081,1239932,639949,310361917
2026-02-27,February,2026,gpt-5.3-codex,4517981481,4390569216,0,127412265,18122275,9793117,4536103756
2026-02-28,February,2026,gpt-5.3-codex,2744911679,2677212288,0,67699391,8783382,4699104,2753695061
2026-02-28,February,2026,gpt-5.3-codex-spark,1445610238,1389169792,0,56440446,8520031,5404145,1454130269
2026-03-01,March,2026,gpt-5.3-codex,1009037411,984696064,0,24341347,2803656,1414040,1011841067
2026-03-01,March,2026,gpt-5.3-codex-spark,865742038,830300288,0,35441750,5143663,3325405,870885701
2026-03-02,March,2026,gpt-5.3-codex,860799967,836629504,0,24170463,2765261,1454730,863565228
2026-03-02,March,2026,gpt-5.3-codex-spark,1564951732,1499151872,0,65799860,9303274,5920645,1574255006
2026-03-03,March,2026,gpt-5.3-codex,506207783,497042688,0,9165095,1234579,615021,507442362
2026-03-04,March,2026,gpt-5.3-codex,1387925,1330560,0,57365,19674,14720,1407599
2026-03-05,March,2026,gpt-5.3-codex,2801398,2700928,0,100470,8320,5392,2809718
2026-03-05,March,2026,gpt-5.4,6995922,6428032,0,567890,71853,42661,7067775
2026-03-06,March,2026,gpt-5.4,1453041,1318272,0,134769,15095,8541,1468136
2026-03-08,March,2026,gpt-5.4,197593082,185483136,0,12109946,659322,216085,198252404
2026-03-09,March,2026,gpt-5.4,92562188,85430656,0,7131532,381028,118853,92943216
2026-03-15,March,2026,gpt-5.4,6073409,5048192,0,1025217,44475,23524,6117884
2026-04-01,April,2026,gpt-5.4,2214866,1968000,0,246866,48383,34964,2263249
2026-04-09,April,2026,gpt-5.4,1006421,900480,0,105941,11398,3060,1017819
2026-04-15,April,2026,gpt-5.4,12165947,11220992,0,944955,58166,19460,12224113
2026-04-16,April,2026,gpt-5.4,213062,167680,0,45382,4151,1588,217213
2026-04-18,April,2026,gpt-5.4,18816085,17437312,0,1378773,112412,36160,18928497
2026-04-21,April,2026,gpt-5.4,2296468,2136192,0,160276,12294,6123,2308762
2026-04-22,April,2026,gpt-5.4,14497733,12700672,0,1797061,131053,58981,14628786
2026-04-23,April,2026,gpt-5.4,99826307,92423552,0,7402755,442065,133998,100268372
2026-04-23,April,2026,gpt-5.5,9004964,7634048,0,1370916,99400,34508,9104364
2026-04-24,April,2026,gpt-5.5,8409460,6814848,0,1594612,76543,13960,8486003
2026-04-25,April,2026,gpt-5.5,606496,419072,0,187424,7823,2318,614319
2026-04-26,April,2026,gpt-5.5,6447828,5140096,0,1307732,87819,14890,6535647
2026-04-27,April,2026,gpt-5.5,381218,300416,0,80802,5656,922,386874
2026-04-28,April,2026,gpt-5.5,776818,605312,0,171506,9234,2420,786052
2026-04-29,April,2026,gpt-5.5,3764395,2976896,0,787499,39752,17493,3804147
2026-04-30,April,2026,gpt-5.5,1825806,1426944,0,398862,15513,5388,1841319
2026-05-01,May,2026,gpt-5.5,1397353,1053824,0,343529,21105,7444,1418458
2026-05-02,May,2026,gpt-5.5,340884,205056,0,135828,5292,1167,346176
2026-05-03,May,2026,gpt-5.5,108323623,102790016,0,5533607,340110,76576,108663733
2026-05-05,May,2026,gpt-5.5,2539041,1960576,0,578465,44040,17820,2583081
2026-05-06,May,2026,gpt-5.5,37454963,35837952,0,1617011,135293,45772,37590256
2026-05-07,May,2026,gpt-5.5,241088,162560,0,78528,1707,298,242795
2026-05-11,May,2026,gpt-5.5,65333115,60879872,0,4453243,304656,151692,65637771
2026-05-12,May,2026,gpt-5.5,378090131,370646144,0,7443987,675588,187383,378765719
2026-05-13,May,2026,gpt-5.5,532545637,523443200,0,9102437,831933,179450,533377570
2026-05-14,May,2026,gpt-5.5,384572760,376720640,0,7852120,818187,225377,385390947
2026-05-15,May,2026,gpt-5.5,92644256,85390848,0,7253408,594913,371690,93239169
2026-05-16,May,2026,gpt-5.5,18794025,16103424,0,2690601,188396,127319,18982421
2026-05-17,May,2026,gpt-5.5,16267983,15200384,0,1067599,88297,46974,16356280
2026-05-18,May,2026,gpt-5.5,22872872,20588672,0,2284200,174632,106827,23047504
2026-05-19,May,2026,gpt-5.5,70840084,66370048,0,4470036,352432,178601,71192516
2026-05-20,May,2026,gpt-5.5,98463520,93044096,0,5419424,440031,253558,98903551
2026-05-21,May,2026,gpt-5.2,38260,4352,0,33908,8459,6876,46719
2026-05-21,May,2026,gpt-5.5,56111495,52570752,0,3540743,325771,201121,56437266
2026-05-22,May,2026,gpt-5.5,38164428,34878976,0,3285452,214016,105059,38378444
2026-05-23,May,2026,gpt-5.5,262417390,255835520,0,6581870,426974,113614,262844364
2026-05-24,May,2026,gpt-5.5,919079524,893843328,0,25236196,1645566,524739,920725090
2026-05-25,May,2026,gpt-5.5,1064090789,1033673984,0,30416805,2698418,876182,1066789207
2026-05-26,May,2026,gpt-5.5,59681014,56619264,0,3061750,327416,147091,60008430
2026-05-27,May,2026,gpt-5.5,52921085,49879168,0,3041917,241856,80092,53162941
2026-05-28,May,2026,gpt-5.5,2825664,2557568,0,268096,15538,8203,2841202
2026-05-29,May,2026,gpt-5.5,43599406,40552960,0,3046446,274736,159271,43874142
2026-05-30,May,2026,gpt-5.5,2016897,1688704,0,328193,8346,1486,2025243
2026-05-31,May,2026,gpt-5.5,2102947,1762688,0,340259,3209,718,2106156
2026-06-01,June,2026,gpt-5.5,9534310,8596864,0,937446,38832,13735,9573142
2026-06-05,June,2026,gpt-5.5,339934467,332916992,0,7017475,546084,119023,340480551
2026-06-08,June,2026,gpt-5.5,119388170,115063168,0,4325002,338018,73336,119726188
2026-06-09,June,2026,gpt-5.5,83923514,80054784,0,3868730,235954,53671,84159468
2026-06-10,June,2026,gpt-5.5,76230533,72032640,0,4197893,251370,58403,76481903
2026-06-11,June,2026,gpt-5.5,146741328,139131008,0,7610320,471223,133557,147212551
2026-06-12,June,2026,gpt-5.5,348742863,326348800,0,22394063,917314,246699,349660177
2026-06-13,June,2026,gpt-5.5,10663904,8970496,0,1693408,70016,25772,10733920
2026-06-15,June,2026,gpt-5.5,293132259,272752512,0,20379747,1028010,306022,294160269
2026-06-16,June,2026,gpt-5.5,739234234,701314560,0,37919674,2273032,740893,741507266
2026-06-17,June,2026,gpt-5.5,786798519,747140224,0,39658295,2515572,717552,789314091
2026-06-18,June,2026,gpt-5.5,630295035,599622272,0,30672763,1748376,585278,632043411
